"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit"
"1","current",2937007125.31924,118723.422159844,0,0,0
"2","iFAST",2930180231.17905,117548.295440523,-6826894.1401844,1175.12671932048,30329428.5265941
