"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit","parameter","univariate_scenario"
"54","iFAST",2945161922.34664,120164.185937352,-552898.588160515,174.489616858453,4042690.92532957,"uncomplicated_1664_f_r.prev","low"
"55","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_f_sensitivity.i","low"
"56","iFAST",2945231139.35636,120176.625676744,-449911.74966526,152.088749964838,3491686.74896202,"uncomplicated_1664_f_sensitivity.i","low"
"57","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_f_specificity.i","low"
"58","iFAST",2945088835.10588,120142.733907369,-592216.00014019,185.980519339413,4311826.38692845,"uncomplicated_1664_f_specificity.i","low"
"59","current",2945818667.79797,120358.569005527,0,0,0,"uncomplicated_1664_f_sensitivity.c","low"
"60","iFAST",2945074912.96261,120142.733907369,-743754.835354805,215.835098158321,5060456.79852122,"uncomplicated_1664_f_sensitivity.c","low"
"61","current",2945693190.96413,120328.714426708,0,0,0,"uncomplicated_1664_f_specificity.c","low"
"62","iFAST",2945074912.96261,120142.733907369,-618278.001512051,185.980519339428,4337888.38830061,"uncomplicated_1664_f_specificity.c","low"
"63","current",2945651323.40504,120328.714426708,0,0,0,"uncomplicated_1664_f_cost.empiricuti.U","low"
"64","iFAST",2945046024.62141,120142.733907369,-605298.783636093,185.980519339428,4324909.17042465,"uncomplicated_1664_f_cost.empiricuti.U","low"
"65","current",2945677162.27734,120328.714426708,0,0,0,"uncomplicated_1664_f_cost.empiricuti.current","low"
"66","iFAST",2945070464.56075,120142.733907369,-606697.716588974,185.980519339428,4326308.10337753,"uncomplicated_1664_f_cost.empiricuti.current","low"
"67","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_f_cost.empiricuti.ifast","low"
"68","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"uncomplicated_1664_f_cost.empiricuti.ifast","low"
"69","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_f_cost.2ndline.U","low"
