"","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit","scenario"
"1",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"base"
"2",2944448240.30341,120142.733907369,-628342.218668938,185.980519339428,4347952.60545749,"low_trim"
"3",2930180231.17905,117548.295440523,-6826894.1401844,1175.12671932048,30329428.5265941,"high_prev"
