"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit"
"1","current",2945076582.52208,120328.714426708,0,0,0
"2","iFAST",2944448240.30341,120142.733907369,-628342.218668938,185.980519339428,4347952.60545749
