"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit"
"1","current",2945681051.10602,120328.714426708,0,0,0
"2","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638
